Country,Female,Male,Total,Number of deaths,Case fatality ratio (%)
Australia,4,2,6,0,0
Canada,151,100,251,43,17
China,2674,2607,5327,349,7
Hong Kong,977,778,1755,299,17
Macao,0,1,1,0,0
Taiwan,218,128,346,37,11
France,1,6,7,1,14
Germany,4,5,9,0,0
India,0,3,3,0,0
Indonesia,0,2,2,0,0
Italy,1,3,4,0,0
Kuwait,1,0,1,0,0
Malaysia,1,4,5,2,40
Mongolia,8,1,9,0,0
New Zealand,1,0,1,0,0
Philippines,8,6,14,2,14
Republic of Ireland,0,1,1,0,0
Republic of Korea,0,3,3,0,0
Romania,0,1,1,0,0
Russian Federation,0,1,1,0,0
Singapore,161,77,238,33,14
South Africa,0,1,1,1,100
Spain,0,1,1,0,0
Sweden,3,2,5,0,0
Switzerland,0,1,1,0,0
Thailand,5,4,9,2,22
United Kingdom,2,2,4,0,0
United States,13,14,27,0,0
Viet Nam,39,24,63,5,8
